Address, City, State, ZIP, Backroom Stock, Floor Stock, In Transit Stock, Price, Aisles
930 N Walnut Creek Dr Ste 800, Mansfield, TX, 76063, 0, 0, 0, 80.0, L1-4
7800 Summer Creek Dr, Fort Worth, TX, 76123, 0, 0, 0, N/A, N/A
700 E Ennis Ave, Ennis, TX, 75119, 0, 0, 0, 66.0, K20-4
18121 Marsh Ln, Dallas, TX, 75287, 0, 0, 0, 63.0, I1-3
820 E Belt Line Rd, Cedar Hill, TX, 75104, 0, 0, 0, N/A, N/A
16066 State Highway 121, Frisco, TX, 75035, 0, 0, 0, 47.5, K1-5
8040 Independence Pkwy, Plano, TX, 75025, 0, 0, 0, N/A, N/A
1836 S Main St, Weatherford, TX, 76086, 0, 0, 0, 80.0, K1-4
2041 N Redbud Blvd, Mckinney, TX, 75069, 0, 0, 0, 63.0, I1-4
730 W Exchange Pkwy, Allen, TX, 75013, 0, 0, 0, 61.0, K1-2
13100 Josey Ln, Farmers Branch, TX, 75234, 0, 0, 0, N/A, N/A
8555 Preston Rd, Frisco, TX, 75034, -1, 3, 0, 45.5, K1-4
494 W Interstate 30, Royse City, TX, 75189, 0, 0, 0, 80.0, K1-3
6750 Murphy Road, Sachse, TX, 75048, 0, 0, 0, N/A, N/A
2305 N Central Expy, Dallas, TX, 75204, 0, 0, 0, 119.0, N/A
1732 Precinct Line Rd, Hurst, TX, 76054, 0, 0, 0, 80.0, K1-3
6565 Headquarters Dr, Plano, TX, 75024, 0, 0, 0, N/A, N/A
401 Coke Ave, Hillsboro, TX, 76645, 0, 4, 0, 89.0, N/A
6360 Lake Worth Blvd, Lake Worth, TX, 76135, 0, 1, 0, 60.0, K1-3
8801 Ohio Dr, Plano, TX, 75024, 0, 0, 0, 80.0, K18-3
801 W Main St, Lewisville, TX, 75067, 0, 2, 0, 45.5, K1-3
721 Boyd Rd, Azle, TX, 76020, 0, 0, 0, 67.0, K1-3
3400 Virginia Pkwy, Mckinney, TX, 75071, 0, 0, 0, N/A, N/A
6000 Coit Rd, Plano, TX, 75023, 0, 2, 0, 46.0, J14-4
1635 Market Place Blvd, Irving, TX, 75063, 0, 3, 0, 47.5, K22-3
300 Kings Fort Pkwy, Kaufman, TX, 75142, 0, 0, 0, 80.0, K20-3
2245 Jacksboro Hwy, Fort Worth, TX, 76114, 0, 0, 0, 23.5, K1-3, K3-4
